                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53431,                 2.9625,                0.48485,                0.60377,                0.48692,                0.49943,                 0.3584,                0.48577,                0.92836,                0.44765,             0.00033315,             0.00033315,             0.00033315
                      2,                0.43955,                0.95311,                0.38359,                0.57969,                0.51648,                  0.483,                0.34942,                0.49309,                 1.0555,                0.44013,             0.00063349,             0.00063349,             0.00063349
                      3,                0.42534,                0.90952,                 0.3708,                0.56153,                0.56917,                0.49153,                 0.3613,                0.50103,                 1.1026,                 0.4487,             0.00090083,             0.00090083,             0.00090083
                      4,                0.41321,                0.89564,                0.35577,                0.60648,                0.57353,                0.57703,                0.40902,                0.51043,                0.83526,                0.50728,              0.0008515,              0.0008515,              0.0008515
                      5,                0.41144,                0.88798,                0.35728,                0.64501,                0.56435,                0.51524,                 0.3791,                 0.4993,                 1.0679,                0.45751,               0.000802,               0.000802,               0.000802
                      6,                0.39827,                0.89712,                0.34555,                0.63034,                0.56365,                0.55621,                0.41412,                0.47395,                0.88571,                0.45436,              0.0007525,              0.0007525,              0.0007525
                      7,                0.39237,                0.83551,                0.34403,                0.55516,                0.43991,                0.54024,                0.39552,                0.46043,                0.87371,                0.44463,               0.000703,               0.000703,               0.000703
                      8,                0.38169,                0.82465,                0.32853,                0.67683,                0.62477,                0.61964,                0.46283,                0.46409,                0.81569,                0.43646,              0.0006535,              0.0006535,              0.0006535
                      9,                0.36888,                0.79249,                0.32238,                0.65211,                0.64295,                0.62669,                0.47492,                0.46477,                0.73163,                0.44771,               0.000604,               0.000604,               0.000604
                     10,                0.36575,                0.75299,                0.32385,                0.68547,                0.69843,                0.61978,                0.46338,                0.45508,                0.84508,                0.43359,              0.0005545,              0.0005545,              0.0005545
                     11,                0.31188,                0.57123,                0.32468,                0.63391,                0.61956,                0.62101,                0.47184,                0.44425,                0.72163,                0.43051,               0.000505,               0.000505,               0.000505
                     12,                0.30603,                0.51859,                0.32012,                 0.7259,                0.67101,                0.66868,                0.50838,                0.43113,                  0.691,                0.41165,              0.0004555,              0.0004555,              0.0004555
                     13,                0.29568,                0.49014,                0.30268,                0.84874,                0.65741,                0.73019,                0.57331,                0.43588,                0.62198,                  0.424,               0.000406,               0.000406,               0.000406
                     14,                0.28654,                0.46219,                0.29837,                0.75095,                0.70515,                0.71901,                0.57476,                0.43355,                 0.6765,                0.41442,              0.0003565,              0.0003565,              0.0003565
                     15,                0.27887,                0.44426,                 0.2874,                0.71392,                0.68842,                0.68636,                0.53555,                0.43967,                0.63848,                0.44475,               0.000307,               0.000307,               0.000307
                     16,                0.27003,                0.42438,                0.27699,                0.76377,                0.72384,                0.70612,                0.55256,                0.42368,                0.63328,                0.41901,              0.0002575,              0.0002575,              0.0002575
                     17,                0.26197,                0.40997,                0.26545,                0.80347,                 0.7211,                0.75917,                0.60461,                0.41745,                0.60165,                 0.4093,               0.000208,               0.000208,               0.000208
                     18,                0.25076,                0.38042,                0.25229,                0.87175,                0.75652,                0.80187,                0.64065,                0.42912,                0.57316,                0.42812,              0.0001585,              0.0001585,              0.0001585
                     19,                0.24095,                0.37179,                0.24125,                0.82428,                0.73131,                0.78388,                0.63117,                0.41729,                0.57156,                0.41477,               0.000109,               0.000109,               0.000109
                     20,                0.23208,                0.35766,                0.22864,                0.81322,                0.76565,                 0.8071,                0.65559,                0.41466,                0.58006,                0.41951,               5.95e-05,               5.95e-05,               5.95e-05
