                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49918,                  2.912,                0.45215,                0.60617,                0.49725,                0.51609,                0.39264,                0.46501,                0.90674,                0.42804,             0.00033315,             0.00033315,             0.00033315
                      2,                0.42413,                0.93122,                0.36983,                0.55648,                0.50598,                0.46676,                0.32405,                0.49647,                0.91513,                0.44604,             0.00063349,             0.00063349,             0.00063349
                      3,                0.43302,                0.95094,                0.37612,                0.26672,                0.34127,                0.19139,                0.11429,                0.50506,                 1.1368,                 0.4459,             0.00090083,             0.00090083,             0.00090083
                      4,                0.43253,                0.99443,                0.37223,                0.42384,                0.44319,                0.40188,                0.27782,                0.50993,                 1.0344,                0.46792,              0.0008515,              0.0008515,              0.0008515
                      5,                0.43136,                0.96542,                0.37232,                0.39793,                0.41979,                0.35914,                0.26014,                0.47566,                 1.0503,                0.43999,               0.000802,               0.000802,               0.000802
                      6,                0.41501,                0.93704,                0.35689,                0.53801,                 0.4541,                0.47573,                0.34271,                 0.4703,                0.94406,                0.45296,              0.0007525,              0.0007525,              0.0007525
                      7,                0.40042,                0.88232,                0.34659,                0.47222,                0.53089,                0.52028,                0.38268,                 0.5009,                0.84225,                0.48275,               0.000703,               0.000703,               0.000703
                      8,                0.39519,                0.83825,                0.34292,                0.57809,                0.63041,                 0.5747,                0.41367,                0.45162,                0.87585,                0.41439,              0.0006535,              0.0006535,              0.0006535
                      9,                0.37829,                0.79993,                0.32953,                0.60138,                 0.6291,                0.60503,                0.45469,                0.45022,                0.76171,                0.42759,               0.000604,               0.000604,               0.000604
                     10,                0.36898,                0.76672,                0.32516,                0.67671,                0.62524,                0.61521,                0.47059,                0.44763,                0.86611,                0.40335,              0.0005545,              0.0005545,              0.0005545
                     11,                 0.3283,                0.59251,                0.34686,                0.67856,                0.62793,                0.62219,                0.44811,                0.45534,                0.71961,                0.44443,               0.000505,               0.000505,               0.000505
                     12,                0.31455,                0.54453,                0.33112,                0.75062,                 0.6465,                0.67005,                 0.5113,                0.44729,                0.69705,                0.41941,              0.0004555,              0.0004555,              0.0004555
                     13,                0.30907,                0.50757,                0.32083,                0.85014,                0.54434,                0.66119,                0.51686,                0.44531,                0.68402,                0.43191,               0.000406,               0.000406,               0.000406
                     14,                 0.2985,                0.47589,                0.31362,                0.75636,                0.65524,                0.66377,                0.50814,                0.44294,                0.64421,                0.42891,              0.0003565,              0.0003565,              0.0003565
                     15,                0.28391,                0.45646,                0.29678,                0.77092,                0.66949,                0.71069,                0.56483,                0.43266,                0.64875,                0.43394,               0.000307,               0.000307,               0.000307
                     16,                0.27777,                 0.4339,                0.28587,                0.79349,                0.72452,                0.76228,                0.61307,                0.42505,                0.63724,                0.42072,              0.0002575,              0.0002575,              0.0002575
                     17,                 0.2668,                0.42245,                0.27344,                0.72205,                0.77384,                0.74259,                0.59445,                0.42211,                0.60357,                0.42556,               0.000208,               0.000208,               0.000208
                     18,                0.25798,                0.40003,                0.25873,                0.82232,                0.71124,                 0.7751,                0.63044,                0.41978,                0.59485,                0.42228,              0.0001585,              0.0001585,              0.0001585
                     19,                0.24959,                0.37981,                0.25387,                 0.8322,                 0.7138,                  0.773,                 0.6254,                0.42006,                0.58821,                  0.411,               0.000109,               0.000109,               0.000109
                     20,                0.24076,                0.36738,                0.24315,                0.84665,                0.72728,                0.79315,                0.64701,                 0.4131,                0.58068,                0.41206,               5.95e-05,               5.95e-05,               5.95e-05
