                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4676,                 2.8125,                 1.6666,                 0.3716,                0.15993,                0.18505,                 0.0887,                 1.8416,                 3.2417,                 2.1182,             0.00033296,             0.00033296,             0.00033296
                      2,                 1.5187,                 2.1457,                 1.7076,                0.26272,                0.25983,                0.21184,                0.10787,                 1.9226,                  2.509,                 2.0845,              0.0006498,              0.0006498,              0.0006498
                      3,                 1.5149,                 1.9503,                 1.7033,                0.33964,                 0.2792,                0.29095,                0.14881,                 1.9035,                 2.4457,                 2.1042,             0.00095015,             0.00095015,             0.00095015
                      4,                 1.4837,                  1.838,                 1.6871,                0.39757,                0.36774,                0.36648,                0.22325,                 1.7988,                 2.1704,                 1.9947,             0.00092575,             0.00092575,             0.00092575
                      5,                  1.419,                  1.701,                 1.6449,                0.42803,                0.50488,                 0.4381,                0.26645,                 1.6675,                  1.935,                 1.8816,               0.000901,               0.000901,               0.000901
                      6,                 1.3807,                  1.619,                 1.5973,                0.47237,                0.48222,                0.43719,                0.26702,                 1.6751,                 1.8245,                 1.9027,             0.00087625,             0.00087625,             0.00087625
                      7,                 1.3406,                 1.5345,                 1.5677,                0.55261,                 0.5045,                0.51432,                 0.3214,                  1.615,                 1.6642,                 1.8235,              0.0008515,              0.0008515,              0.0008515
                      8,                 1.3113,                 1.4726,                 1.5432,                0.45649,                0.54109,                0.48251,                 0.3105,                 1.5871,                 1.8499,                 1.7988,             0.00082675,             0.00082675,             0.00082675
                      9,                 1.2841,                 1.4075,                 1.5249,                 0.5868,                0.50604,                0.54569,                0.36115,                 1.5475,                 1.5326,                  1.751,               0.000802,               0.000802,               0.000802
                     10,                 1.2639,                 1.3808,                 1.5098,                0.61086,                0.54101,                0.54633,                0.36297,                 1.5797,                 1.6467,                 1.7794,             0.00077725,             0.00077725,             0.00077725
                     11,                 1.2399,                 1.3323,                 1.4897,                0.50537,                0.56429,                0.55015,                0.36726,                 1.5386,                 1.4875,                 1.7468,              0.0007525,              0.0007525,              0.0007525
                     12,                 1.2162,                 1.3058,                 1.4717,                0.57269,                0.59165,                0.60203,                0.41881,                 1.5208,                 1.4477,                 1.7307,             0.00072775,             0.00072775,             0.00072775
                     13,                  1.196,                 1.2585,                 1.4595,                0.62165,                0.63766,                0.64264,                 0.4255,                 1.5419,                 1.4102,                 1.7646,               0.000703,               0.000703,               0.000703
                     14,                  1.165,                 1.2239,                  1.433,                0.68756,                0.64842,                0.67132,                0.44314,                 1.5273,                 1.3982,                 1.7276,             0.00067825,             0.00067825,             0.00067825
                     15,                 1.1708,                 1.2119,                 1.4301,                0.69272,                0.58819,                0.64714,                0.43634,                 1.4791,                 1.3278,                 1.6888,              0.0006535,              0.0006535,              0.0006535
                     16,                 1.1531,                 1.1694,                 1.4165,                0.70027,                0.63279,                0.68789,                0.46449,                 1.4974,                 1.3442,                 1.6919,             0.00062875,             0.00062875,             0.00062875
                     17,                 1.1426,                 1.1662,                 1.4146,                0.67872,                0.64661,                0.64988,                0.44179,                 1.4754,                 1.2733,                 1.6692,               0.000604,               0.000604,               0.000604
                     18,                 1.1337,                 1.1382,                 1.4031,                0.67603,                 0.6479,                0.67134,                0.46377,                 1.4685,                 1.2816,                 1.6895,             0.00057925,             0.00057925,             0.00057925
                     19,                 1.1136,                 1.0961,                 1.3916,                 0.7215,                0.69467,                0.72365,                0.51331,                 1.4587,                 1.2342,                 1.6654,              0.0005545,              0.0005545,              0.0005545
                     20,                 1.1113,                 1.0846,                 1.3852,                 0.7479,                0.68696,                0.72637,                0.51482,                 1.4404,                 1.2028,                 1.6501,             0.00052975,             0.00052975,             0.00052975
                     21,                 1.0962,                 1.0689,                 1.3828,                0.73466,                0.69333,                0.73028,                 0.5115,                 1.4437,                 1.1582,                 1.6501,               0.000505,               0.000505,               0.000505
                     22,                 1.0778,                 1.0429,                 1.3663,                0.69974,                 0.6846,                0.70204,                0.49626,                 1.4605,                 1.1677,                 1.6698,             0.00048025,             0.00048025,             0.00048025
                     23,                  1.075,                 1.0295,                 1.3613,                0.69881,                0.69692,                0.71576,                0.49957,                 1.4376,                  1.176,                 1.6609,              0.0004555,              0.0004555,              0.0004555
                     24,                 1.0693,                 1.0109,                 1.3533,                0.72851,                0.63658,                0.66017,                0.47766,                 1.4495,                 1.1293,                 1.6569,             0.00043075,             0.00043075,             0.00043075
                     25,                 1.0467,                0.98909,                 1.3364,                0.74219,                0.70573,                 0.7154,                0.51562,                 1.4152,                 1.0972,                 1.6297,               0.000406,               0.000406,               0.000406
                     26,                 1.0391,                 0.9772,                  1.328,                0.72104,                0.71025,                0.72556,                0.52519,                  1.373,                 1.0735,                 1.5812,             0.00038125,             0.00038125,             0.00038125
                     27,                 1.0212,                0.93687,                 1.3204,                0.71914,                0.71677,                0.71706,                0.52388,                 1.4002,                 1.1034,                 1.6211,              0.0003565,              0.0003565,              0.0003565
                     28,                  1.017,                0.93309,                 1.3157,                0.76407,                0.70189,                0.73979,                0.53573,                  1.387,                 1.0626,                 1.6155,             0.00033175,             0.00033175,             0.00033175
                     29,                 1.0048,                0.92866,                 1.3091,                0.75098,                0.70808,                0.72913,                0.55101,                 1.3741,                 1.0599,                 1.5954,               0.000307,               0.000307,               0.000307
                     30,                 0.9977,                0.91307,                 1.2968,                0.74773,                0.73485,                0.75227,                 0.5588,                 1.3753,                 1.0587,                 1.6023,             0.00028225,             0.00028225,             0.00028225
                     31,                 0.8996,                0.67427,                 1.2608,                0.75866,                 0.7184,                0.73761,                0.54845,                 1.3559,                 1.0356,                 1.5742,              0.0002575,              0.0002575,              0.0002575
                     32,                0.86756,                0.63149,                 1.2322,                0.76967,                0.71304,                0.76392,                  0.576,                 1.3381,                 1.0021,                 1.5633,             0.00023275,             0.00023275,             0.00023275
                     33,                0.85323,                0.60672,                 1.2243,                0.72682,                0.73173,                0.76455,                0.58307,                 1.3279,                0.99576,                 1.5468,               0.000208,               0.000208,               0.000208
                     34,                0.83583,                0.59338,                 1.2081,                0.74477,                0.75207,                0.77913,                 0.5947,                 1.3307,                0.96707,                 1.5497,             0.00018325,             0.00018325,             0.00018325
                     35,                0.81329,                0.57631,                  1.193,                0.78361,                0.70379,                0.77423,                0.58258,                 1.3248,                0.99019,                 1.5461,              0.0001585,              0.0001585,              0.0001585
                     36,                0.79965,                0.56349,                 1.1816,                0.79355,                0.72453,                0.78345,                0.60048,                 1.3192,                0.95684,                 1.5366,             0.00013375,             0.00013375,             0.00013375
                     37,                0.78273,                0.54846,                  1.172,                0.76961,                 0.7625,                0.79671,                0.60691,                 1.3059,                0.94231,                 1.5287,               0.000109,               0.000109,               0.000109
                     38,                0.77502,                0.53551,                 1.1644,                0.77666,                0.76022,                0.79086,                0.60556,                  1.294,                0.93371,                 1.5166,              8.425e-05,              8.425e-05,              8.425e-05
                     39,                0.75668,                0.52855,                 1.1515,                0.77733,                0.76649,                0.79216,                0.60669,                  1.302,                0.94064,                 1.5289,               5.95e-05,               5.95e-05,               5.95e-05
                     40,                0.75331,                0.52074,                 1.1496,                0.77078,                0.76942,                0.79422,                0.61008,                 1.2912,                0.92669,                 1.5176,              3.475e-05,              3.475e-05,              3.475e-05
