                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50869,                 2.9219,                0.45906,                0.64809,                0.45975,                0.46001,                   0.34,                0.45539,                0.91253,                0.41362,             0.00033315,             0.00033315,             0.00033315
                      2,                0.42985,                0.92976,                0.37103,                0.58588,                 0.4556,                0.35313,                0.23129,                0.49871,                 1.0053,                0.44464,             0.00063349,             0.00063349,             0.00063349
                      3,                0.42127,                0.90527,                0.36528,                0.49379,                0.47148,                0.46255,                0.34373,                0.51925,                0.94602,                 0.4977,             0.00090083,             0.00090083,             0.00090083
